,brand,overall_rating,planet_score,people_score,animals_score,description
50,Dickies,3,3,3,3,"Dickies is owned by VF Corporation.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Dickies “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It’s published a biodiversity protection policy that applies to some of its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.It takes actions to reduce water use in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Dickies “It's a Start”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 61-70% in the 2023 Fashion Transparency Index.It provides leadership programs for women in its supply chain, which can lead to promotions and higher wages.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Dickies “It's a Start”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather.It uses recycled wool in some of its wool products.It doesn’t appear to use down, fur, angora, exotic animal skin, or exotic animal hair.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Dickies “It's a Start” overall."
51,Djerf Avenue,3,3,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Djerf Avenue “It's a Start”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.While there’s no evidence it has dedicated climate change policies, its use of lower-impact materials reduces its climate impacts and minimises chemicals, water, and wastewater in production.To minimise waste, it reuses some of its textile offcuts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Djerf Avenue “It's a Start”. These are a few factors influencing its score:Some of its supply chain is certified by Business Social Compliance Initiative Code of Conduct - BSCI, Global Organic Textile Standard (GOTS) certified organic cotton, and Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance.It partly traces its supply chain including all of the final production stage.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Djerf Avenue “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Djerf Avenue “It's a Start” overall."
52,Doen,3,2,4,2,"DÔEN's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It ensures payment of a living wage in some of its supply chain. It audits its final stage of production. Its animal rating is 'not good enough'. It uses leather, wool and exotic animal hair. It does not use fur, down, exotic animal skin or angora. DÔEN is rated 'It's a start' overall."
53,Edikted,1,1,1,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Edikted “Very Poor”. These are a few factors influencing its score:It uses few lower-impact materials.It follows an unsustainable fast fashion model with quickly changing trends and regular new styles.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.There’s no evidence it’s taking meaningful action to reduce its climate impacts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Edikted “Very Poor”. These are a few factors influencing its score:There’s no evidence it has a Code of Conduct.There’s no evidence it supports diversity and inclusion in its supply chain.It partly traces its final production stage, though not its entire supply chain. There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Edikted “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Edikted “We Avoid” overall."
54,Everlane,3,3,2,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Everlane “It's a Start”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.There’s no evidence it’s set a target to manage water use in its supply chain.It’s eliminated some hazardous chemicals but has not made a commitment to eliminate all hazardous chemicals in manufacturing.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Everlane “Not Good Enough”. These are a few factors influencing its score:Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It audits some of its supply chain including all of the final production stage.There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Everlane “It's a Start”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use exotic animal hair, and silk.It uses some recycled leather in its leather products.It uses recycled wool in some of its wool products.It uses some recycled down in its products.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Everlane “It's a Start” overall."
55,Faithfull the Brand,3,2,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Faithfull the Brand “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.There’s no evidence it’s taking meaningful action to reduce water use.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.It uses biodegradable packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Faithfull the Brand “It's a Start”. These are a few factors influencing its score:It traces most of its supply chain.It claims it has a Code of Conduct but does not publicly disclose it.There’s no evidence it ensures workers are paid living wages in its supply chain.It visits its suppliers but does not state how often.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Faithfull the Brand “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Faithfull the Brand “It's a Start” overall."
56,Frankies Bikinis,2,2,1,2,"Frankies Bikinis' environment rating is 'not good enough'. It uses few eco-friendly materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers. Its animal rating is 'not good enough'. It uses leather, wool and exotic animal hair. It does not use fur, down, exotic animal skin or angora. Frankies Bikinis is rated 'Not good enough' overall."
57,Girlfriend Collective,4,4,3,Not applicable,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Girlfriend Collective “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials, including recycled materials.It uses lower impact materials, but there’s no evidence it’s taking further action to reduce its energy use or greenhouse gas emissions.To minimise waste, it reuses some of its textile offcuts.It uses recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Girlfriend Collective “It's a Start”. These are a few factors influencing its score:Some of its supply chain is certified by Social Accountability International - SA8000, including its entire final production stage.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It partly traces its supply chain including the final and some of the second production stages.It is unclear whether it ensures payment of a living wage in its supply chainBrands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Since Girlfriend Collective makes products that are generally free of animal-derived materials, we’ve not rated its impact on animals. Its overall rating is based on its combined environment and labour scores.Based on all publicly available information we’ve reviewed, we rate Girlfriend Collective “Good” overall."
58,Good American,1,1,1,2,"Good American's environment rating is 'very poor'. It uses some eco-friendly materials including recycled cotton. There is no evidence it has taken meaningful action to reduce its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it minimises textile waste. There is no evidence it avoids hazardous chemicals in its supply chain. Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers. Its animal rating is 'not good enough'. There is no evidence it has a policy to minimise the suffering of animals. It uses leather and wool. It does not use fur, down, angora, exotic animal hair or exotic animal skin. There is no evidence it traces any animal product to the first stage of production. Good American is rated 'We avoid' overall."
59,House of Sunny,2,2,2,4,House of Sunny's environment rating is 'not good enough'. It does not use eco-friendly materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. It reduces its water use in some of its supply chain. Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. It audits some of its supply chain but does not state what percentage. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. House of Sunny is rated 'Not good enough' overall.
60,J.Crew,2,2,2,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate J.Crew “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.There’s no evidence it’s taking meaningful action to reduce water use.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate J.Crew “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it supports diversity and inclusion in its supply chain.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate J.Crew “It's a Start”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, shearling, exotic animal hair, and silk.It uses recycled wool in some of its wool products.It doesn’t appear to use down, fur, angora, or exotic animal skin.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate J.Crew “Not Good Enough” overall."
61,Levi's,3,4,3,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Levi's “Good”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It has met its Zero Discharge of Hazardous Chemicals Group (ZDHC) target to eliminate hazardous chemicals from most of its supply chain.It implements water reduction initiatives throughout its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Levi's “It's a Start”. These are a few factors influencing its score:Little of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 51-60% in the 2023 Fashion Transparency Index.It has a comprehensive policy to support diversity and inclusion in its direct operations but not in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Levi's “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but few clear implementation mechanisms in place.It appears to use leather.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, exotic animal skin, or exotic animal hair.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Levi's “It's a Start” overall."
62,Madewell,2,2,2,2,"Madewell is owned by J.Crew. Its environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. Its labour rating is 'not good enough'. Some of its supply chain is certified by Fair Trade USA in the final stage of production. There is no evidence it ensures payment of a living wage in its supply chain. It audits some of its supply chain but does not specify what percentage. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. It has a formal animal welfare policy aligned with Five Freedoms but has no clear mechanisms to implement. It uses wool, leather and exotic animal hair. It does not use angora, down, fur or exotic animal skin. It traces some animal products to the first stage of production. Madewell is rated 'Not good enough' overall."
63,Organic Basics,5,5,4,4,"Organic Basics' environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It audits or visits most of its suppliers. Its animal rating is 'good'. It does not use fur, leather, down or exotic animal skin. It uses recycled wool and exotic animal hair. Organic Basics is rated 'Great' overall."
64,Pact,4,3,4,3,"PACT's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. There is no evidence it minimises textile waste. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Most of its facilities are Fair Trade USA certified. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final stage of production. It ensures payment of a living wage in some of its supply chain. Its animal rating is 'it's a start'. There is no evidence it has an animal welfare policy. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool. PACT is rated 'Good' overall."
65,Patagonia,4,4,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Patagonia “Good”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including recycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.It uses a medium proportion of bluesign certified fabrics.It produces long-lasting products.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Patagonia “Not Good Enough”. These are a few factors influencing its score:Its social auditing program covering its entire final production stage is accredited by Fair Labor Association (FLA).It received a score of 31-40% in the 2023 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.It ensures some workers in the final production stage are paid living wages, though not in its entire supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.It has been linked to a labour rights scandal in the last 3 years without demonstrating best practice remediation.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Patagonia “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare and clear implementation mechanisms in place.It appears to use recycled exotic animal hair.Responsible Wool Standard certifies the wool it sources.Responsible Down Standard certifies the wool it sources.It appears to use leather.It doesn’t appear to use fur, angora, or exotic animal skin.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Patagonia “Good” overall."
66,prAna,3,4,2,3,"prAna is owned by Columbia Sportswear. Its environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It implements water reduction initiatives in its supply chain. It has set a target to reduce greenhouse gas emissions in its supply chain but there is no evidence it is on track to meet its target. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'not good enough'. Some of its supply chain is certified by FLA Workplace Code of Conduct including all of the final stage of production. It received a score of 21-30% in the Fashion Transparency Index. There is no evidence it implements practices to support diversity and inclusion in its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms and has clear mechanisms to implement. It does not use fur, angora, exotic animal skin or exotic animal hair. It uses down accredited by the Responsible Down Standard. It uses leather and wool. It traces some animal products to the first stage of production.prAna is rated 'It's a start' overall."
67,Quince,2,2,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Quince “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturingThere’s no evidence it’s taking meaningful action to reduce water use.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Quince “Not Good Enough”. These are a few factors influencing its score:Some of its final production stage is certified by Business Social Compliance Initiative Code of Conduct - BSCI, and Worldwide Responsible Accredited Production - WRAP.It partly traces its supply chain including all of the final production stage.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Quince “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use leather, wool, exotic animal hair, silk, and pearl.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Quince “Not Good Enough” overall."
68,RE/DONE,2,2,1,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate RE/DONE “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It recycles water to reduce water use in some of its supply chain.There’s no evidence it’s taking meaningful action to reduce its climate impacts.There’s no evidence it minimises textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate RE/DONE “Very Poor”. These are a few factors influencing its score:There’s no evidence it has a Code of Conduct.It partly traces its supply chain.There's no evidence it audits its suppliers.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate RE/DONE “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use shearling, and exotic animal hair.It uses some recycled leather in its leather products.It doesn’t appear to use down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate RE/DONE “Not Good Enough” overall."
69,Réalisation Par,1,1,1,0,"Transparency is essential for keeping brands accountable and making more informed choices. Unfortunately, Réalisation Par provides insufficient information about the actions it’s taking to address its impacts on people, the planet, and animals. You have a right to know how the products you buy affect the issues you care about.Based on all publicly available information we’ve reviewed, we rate Réalisation Par “We Avoid” overall."
70,REI,2,2,2,3,"REI's environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it implements water reduction initiatives. There is no evidence it has a policy to minimise the impacts of microplastics. Its labour rating is 'not good enough'. Little of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 11-20% in the 2021 Fashion Transparency Index. There is no evidence it implements practices to encourage diversity and inclusion in its direct operations or supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It does not disclose adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms and has clear mechanisms to implement. It uses leather, wool and down. It does not use fur, angora, down or exotic animal skin. It traces some animal products to the first stage of production. REI is rated 'Not good enough' overall."
71,Sezane,2,2,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Sézane “Not Good Enough”. These are a few issues influencing its score:It uses some lower-impact materials including organic cotton.There's no evidence it has set a greenhouse gas emissions reduction target.It’s eliminated some hazardous chemicals but has not made a commitment to eliminate all hazardous chemicals in manufacturing.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Sézane “Not Good Enough”. These are a few issues influencing its score:Some of its final production stage is certified by Business Social Compliance Initiative Code of Conduct - BSCI and Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Sézane “Not Good Enough”. These are a few issues influencing its score:It’s published a general statement about minimising animal suffering but not a formal animal welfare policy.It appears to use leather, shearling, exotic animal hair, and silk.Responsible Wool Standard certifies some of the wool it sources.It doesn’t appear to use down, fur, angora, or exotic animal skin.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Sézane “Not Good Enough” overall."
72,Spanx,1,1,1,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Unfortunately, SPANX does not publish sufficient information. You have a right to know how the products you buy affect the issues you care about.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate SPANX “Very Poor”. These are a few factors influencing its score:There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.It claims it has a Code of Conduct but does not publicly disclose it.The brand claims to audit some of its supply chain but doesn’t specify what percentage.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate SPANX “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate SPANX “We Avoid” overall."
73,Summersalt,2,2,2,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Summersalt “Not Good Enough”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.There’s no evidence it’s taking meaningful action to reduce water use.There’s no evidence it’s taking meaningful action to reduce its climate impacts.There’s no evidence it minimises textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Summersalt “Not Good Enough”. These are a few factors influencing its score:More than half its final production stage is certified by Worldwide Responsible Accredited Production - WRAP.There’s no evidence it has a Code of Conduct.It partly traces its supply chain including all of the final production stage.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Summersalt “It's a Start”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use wool, and exotic animal hair.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Summersalt “Not Good Enough” overall."
74,tentree,4,4,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate tentree “Good”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To reduce its climate impacts, it uses renewable energy in its supply chain.While it offers clothing recycling to consumers, it doesn’t report on its results.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate tentree “It's a Start”. These are a few factors influencing its score:Some of its supply chain is certified by Fair Wear Foundation, Global Organic Textile Standard (GOTS) certified organic cotton, Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, and Worldwide Responsible Accredited Production - WRAP.It sources its final stage of production from countries with extreme risk of labour abuse.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate tentree “Good”. These are a few factors influencing its score:It uses few animal-derived materials in its products.Responsible Wool Standard certifies some of the wool it sources.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate tentree “Good” overall."
75,The North Face,3,3,3,3,"The North Face is owned by VF Corporation.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate The North Face “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It’s published a biodiversity protection policy that applies to some of its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.It takes actions to reduce water use in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate The North Face “It's a Start”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 61-70% in the 2023 Fashion Transparency Index.It provides leadership programs for women in its supply chain, which can lead to promotions and higher wages.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate The North Face “It's a Start”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather.Responsible Wool Standard certifies some of the wool it sources.Responsible Down Standard certifies the down it uses.It uses some recycled down in its products.It doesn’t appear to use fur, angora, exotic animal skin, or exotic animal hair.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate The North Face “It's a Start” overall."
