,brand,overall_rating,planet_score,people_score,animals_score,description
262,Skall Studio,4,3,3,4,"Skall Studio's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including organic cotton. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. It states it has a Code of Conduct but does not publicly share it. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It audits some of its supply chain. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep. Skall Studio is rated 'Good' overall."
263,Carlie Ballard,4,5,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Carlie Ballard “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It manufactures its products by hand to reduce its climate impact.It uses compostable packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Carlie Ballard “It's a Start”. These are a few factors influencing its score:It surrports artisans and marginalised women in its supply chain.It traces most of its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Carlie Ballard “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Carlie Ballard “Good” overall."
264,Dagsmejan,3,2,3,4,"Dagsmejan's environment rating is 'not good enough'. It does not use eco-friendly materials. There is no evidence it minimises textile waste. It manufactures locally to reduce its carbon footprint. There is no evidence it implements water reduction initiatives. Its labour rating is 'it's a start'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. There is no evidence it audits its supply chain. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep. Dagsmejan is rated 'It's a start' overall."
265,FTC Cashmere,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate FTC Cashmere “Great”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.To minimise waste, it reuses most of its textile offcuts.It completes the first and second stages of production closer to home to reduce its climate impact.It produces long-lasting products.It avoids plastic packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate FTC Cashmere “Good”. These are a few factors influencing its score:Much of its supply chain is certified by Oeko-Tex STeP. There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.It claims it ensures payment of a living wage in its supply chain but doesn't define a living wage.It traces most of its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate FTC Cashmere “Good”. These are a few factors influencing its score:It’s published a general statement about minimising animal suffering but not a formal animal welfare policy.It appears to use exotic animal hair.It doesn’t appear to use leather, wool, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate FTC Cashmere “Good” overall."
266,Rudy Jude,4,5,2,4,"Rudy Jude's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes in all of its products.Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Rudy Jude is rated 'Good' overall."
267,WUF KIDS,4,4,3,4,"WUF KIDS' environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It manufactures locally to reduce its climate impact. There is no evidence it minimises textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. Its final stage of production is undertaken in Latvia, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. Its animal rating is 'good'. It uses few animal materials in its products. It does not use leather, down, angora, fur, exotic animal skin or exotic animal hair. It uses wool.WUF KIDS is rated 'Good' overall."
268,Mayamiko,5,5,5,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Mayamiko “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials incluidng organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it reuses all of its textile offcuts.It manufactures its products by hand to reduce its climate impact.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Mayamiko “Great”. These are a few factors influencing its score:It traces most of its supply chain.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It visits its suppliers regularly.It ensures workers in the final production stage are paid a living wage.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Mayamiko “Good”. These are a few factors influencing its score:It appears to use .It doesn’t appear to use fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Mayamiko “Great” overall."
269,Jaffic,3,3,3,4,"Jaffic's environment rating is 'it's a start'. It uses some eco-friendly materials including upcycled materials. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it minimises packaging. It manufactures locally to reduce its climate impact. Its labour rating is 'it's a start'. Its products are manufactured in-house by the owner. It traces most of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use leather, down, fur, exotic animal skin or exotic animal hair. It uses recycled wool in some of its wool products. Jaffic is rated 'It's a start' overall."
270,menique,3,4,3,3,"menique's environment rating is 'good'. Its products are made to order to minimise textile waste. It uses some eco-friendly materials. It uses plastic-free packaging. It uses low impact non-toxic dyes in all of its products.Its labour rating is 'it's a start'. Its final stage of production is undertaken in Lithuania, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits some of its suppliers regularly. Its animal rating is 'it's a start'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It does not use leather, down, fur or exotic animal skin. It uses wool and exotic animal hair.menique is rated 'It's a start' overall."
271,Mimi Prober,4,5,3,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate Mimi Prober “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact material including upcycled materials.It uses lower-impact materials that help limit the chemicals, water, and wastewater in its Supply Chain.To minimise waste, it limits its production runs.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Mimi Prober “It's a Start”. These are a few factors influencing its score:Its final production stage happens in the USA, a medium risk country for labour abuse.It mostly traces its supply chain.There’s no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Mimi Prober “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use wool, and exotic animal hair.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Mimi Prober “Good” overall."
272,Mummelito,3,3,3,4,"Mummelito's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It manufactures locally to reduce its climate impact. There is no evidence it implements water reduction initiatives. It has a limited production run to minimise textile waste.Its labour rating is 'it's a start'. Its final stage of production is undertaken in Germany, a low risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers regularly. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool. Mummelito is rated 'It's a start' overall."
273,DUE.,3,3,2,4,"DUE.'s environment rating is 'it's a start'. It does not use eco-friendly materials. It has a limited production run to minimise textile waste. It manufactures locally to reduce its climate impact. There is no evidence it implements water reduction initiatives in its supply chain.Its labour rating is 'not good enough'. Its final stage of production is undertaken in Lithuania, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits its suppliers.Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. DUE. is rated 'It's a start' overall."
274,Treekid,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Treekid “Great”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.To minimise waste, it reuses some of its textile offcuts.It uses compostable packaging.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Treekid “Good”. These are a few factors influencing its score:Some of its supply chain is certified by Ethical Clothing Australia (ECA), including its entire final production stage.It partly traces its supply chain including the final and some of the second production stages.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Treekid “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Treekid “Good” overall."
275,Bedhead Pajamas,3,3,3,Not applicable,"Bedhead Pajamas's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct. It traces most of its supply chain. It does not disclose where its final stage of production occurs. It is unclear whether it ensures payment of a living wage in its supply chain. This brand makes products that are generally free of animal materials other than silk. We have not rated its impact on animals. The overall rating is based on environment and labour scores only. Bedhead Pajamas is rated 'It's a start' overall."
276,Tri Colour Federation,4,4,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Tri Colour Federation “Good”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It manufactures its products closer to home to reduce the climate impact of long-distance shipping. There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Tri Colour Federation “It's a Start”. These are a few factors influencing its score:Its final production stage happens in Australia, a low risk country for labour abuse.It partly traces its supply chain including all of the final production stage.There’s no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Tri Colour Federation “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Tri Colour Federation “Good” overall."
277,Shakti.ism,4,4,4,4,"Shakti.ism's environment rating is 'good'. It uses a high proportion of eco-friendly materials including upcycled materials. It manufactures by hand to reduce its climate impact. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It provides jobs for disadvantaged women in India. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use leather, wool, down, fur, exotic animal skin or exotic animal hair. It uses recycled silk. Shakti.ism is rated 'Good' overall."
278,simply grey,3,3,3,3,"simply grey's environment rating is 'it's a start'. It uses materials which reduce water use in the first stage of production. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its products are made to order to minimise textile waste. There is no evidence it minimises packaging. Its labour rating is 'it's a start'. Its products are manufactured in-house by a small team. It traces some of its supply chain. There is no evidence it ensures payment of a living wage. Its animal rating is 'it's a start'. There is no evidence it has an animal welfare policy. It uses leather. It does not use wool, exotic animal hair, fur, down, angora or exotic animal skin. simply grey is rated 'It's a start' overall."
279,Granelito,4,5,3,4,"Granelito's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It manufactures its products by hand to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. It monitors health and safety issues by visiting all of its final stage of production suppliers. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Granelito is rated 'Good' overall."
280,Yes Friends,5,5,5,5,"Yes Friends' environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. Its products are certified by Fairtrade International - Small Producers Organisations. It traces all of its supply chain. It ensures payment of a living wage in most of its supply chain. Its animal rating is 'great'. It is listed by PETA as vegan. Yes Friends is rated 'Great' overall."
281,Royal Apparel,3,3,3,Not applicable,"Royal Apparel's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. There is no evidence it minimises textile waste when manufacturing its products. It manufactures locally to reduce its climate impact. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces most of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. This brand makes products that are generally free of animal materials. We have not rated its impact on animals. The overall rating is based on environment and labour scores only. Royal Apparel is rated 'It's a start' overall."
282,MPG Sport,3,3,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate MPG Sport “It's a Start”. These are a few factors influencing its score:It uses a medium proportion of lower-impact material including recycled materials.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it’s taking meaningful action to reduce water use.It uses some recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate MPG Sport “Not Good Enough”. These are a few factors influencing its score:Some of its supply chain is certified by Social Accountability International - SA8000, and Worldwide Responsible Accredited Production - WRAP.It doesn't disclose where its final production stage occurs.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It claims it ensures payment of a living wage in its supply chain but doesn't define a living wage.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate MPG Sport “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare and clear implementation mechanisms in place.Responsible Wool Standard certifies the wool it sources.Responsible Down Standard certifies the down it uses.It doesn’t appear to use leather, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate MPG Sport “It's a Start” overall."
283,Mila.Vert,5,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Mila.Vert “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It uses a closed-loop system to reduce water use in its supply chain.It avoids plastic packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Mila.Vert “Good”. These are a few factors influencing its score:Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.It audits some of its supply chain including all of the final production stage.It ensures workers in the final production stage are paid a living wage, though not in its entire supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Mila.Vert “Good”. These are a few factors influencing its score:It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Mila.Vert “Great” overall."
284,tentree,4,4,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate tentree “Good”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To reduce its climate impacts, it uses renewable energy in its supply chain.While it offers clothing recycling to consumers, it doesn’t report on its results.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate tentree “It's a Start”. These are a few factors influencing its score:Some of its supply chain is certified by Fair Wear Foundation, Global Organic Textile Standard (GOTS) certified organic cotton, Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, and Worldwide Responsible Accredited Production - WRAP.It sources its final stage of production from countries with extreme risk of labour abuse.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate tentree “Good”. These are a few factors influencing its score:It uses few animal-derived materials in its products.Responsible Wool Standard certifies some of the wool it sources.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate tentree “Good” overall."
285,Adidas by Stella McCartney,4,4,3,4,"Adidas by Stella McCartney is owned by Adidas Group.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Adidas by Stella McCartney “Good”. These are a few issues influencing its score:It uses a high proportion of lower-impact materials including recycled materials.Its use of lower-impact materials minimises chemicals, water, and wastewater in production.It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain but it is not on track to meet its target.It’s set a target to eliminate hazardous chemicals by 2025 and claims it’s on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Adidas by Stella McCartney “It's a Start”. These are a few issues influencing its score:Its social auditing program is accredited by Fair Labor Association (FLA), covering its entire final production stage.It received a score of 51-60% in the 2022 Fashion Transparency Index.It has a limited policy to support diversity and inclusion in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Adidas by Stella McCartney “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Adidas by Stella McCartney “Good” overall."
286,Kapten & Son,4,4,3,5,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Kapten & Son “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.To reduce its climate impacts, it uses renewable energy in its supply chain.To minimise waste, it recycles some of its textile offcuts. It produces long-lasting products.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Kapten & Son “It's a Start”. These are a few factors influencing its score:Some of its supply chain is certified by Business Social Compliance Initiative Code of Conduct - BSCI, Fair Wear Foundation, and Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, including most of its final production stage.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It sources its final stage of production from countries with extreme risk of labour abuse.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Kapten & Son “Great”. It states that its entire product range is vegan.Based on all publicly available information we’ve reviewed, we rate Kapten & Son “Good” overall."
287,Nisa,4,5,5,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Nisa “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.To reduce its climate impacts, it uses renewable energy in its supply chain.It avoids plastic packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Nisa “Great”. These are a few factors influencing its score: It employs women from refugee backgrounds.It traces most of its supply chain including all of the final production stage.It ensures workers in the final production stage are paid a living wage.It audits some of its supply chain incluidng all of the final stage of production.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Nisa “It's a Start”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use wool.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Nisa “Good” overall."
288,Tomorrow Denim,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Tomorrow Denim “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It takes action to reduce process greenhouse gas emissions during manufacturing.To minimise waste, it reuses some of its textile offcuts.It recycles water to reduce water use in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Tomorrow Denim “Good”. These are a few factors influencing its score:Some of its supply chain is certified by Business Social Compliance Initiative Code of Conduct - BSCI, and Global Organic Textile Standard (GOTS) certified organic cotton, including its entire final production stage.It traces most of its supply chain.It audits its suppliers regularly.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Tomorrow Denim “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Tomorrow Denim “Good” overall."
289,Vege Threads,4,4,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Vege Threads “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Vege Threads “It's a Start”. These are a few factors influencing its score:Its final production stage is certified by Ethical Clothing Australia (ECA).It partly traces its supply chain including all of the final production stage.There’s no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Vege Threads “Good”. These are a few factors influencing its score:Responsible Wool Standard certifies the wool it sources.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Vege Threads “Good” overall."
290,ecuvo,4,5,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate ecuvo “Great”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It uses low-waste cutting techniques to maximise fabric use.To reduce its climate impacts, it uses renewable energy in its supply chain.To minimise plastic waste, it uses packaging that consumers can repurpose and reuse.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate ecuvo “Not Good Enough”. These are a few factors influencing its score:Its final production stage happens in Japan, a medium risk country for labour abuse.There’s no evidence it has a Code of Conduct.It partly traces its supply chain including the final and some of the second production stages.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate ecuvo “Good”. These are a few factors influencing its score:It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate ecuvo “Good” overall."
291,Edwin USA,4,4,5,3,"Edwin USA 's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It uses renewable energy in its supply chain to reduce its climate impact. It uses low impact non-toxic dyes in all of its products. It reduces its water use by using a closed-loop system in its supply chain. Its labour rating is 'great'. Its product are [FT Textile] certified. It ensures payment of a living wage in the final stage of production. It traces most of its supply chain. It audits most of its supply chain. Its animal rating is 'it's a start'. It does not use fur, wool, down, exotic animal skin, exotic animal hair or angora. It uses leather. Edwin USA is rated 'Good' overall."
292,All The Wild Roses,4,4,4,4,"All The Wild Roses' environment rating is 'good'. It uses a high proportion of eco-friendly materials including upcycled materials. It has a limited production run to minimise textile waste. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It ensures payment of a living wage in the final stage of production. It traces all of its supply chain. It visits its suppliers but does not state how often. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. All The Wild Roses is rated 'Good' overall."
293,Tekla,4,4,4,4,"Tekla's rating applies to the Tekla house apparel brand only and does not cover other brands stocked by Tekla or other categories of products outside of apparel. Its environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Tekla is rated 'Good' overall."
294,nu-in,4,4,3,5,"nu-in's environment rating is 'good'. It uses a high proportion of eco-friendly materials including recycled materials. It reuses most of its offcuts to minimise textile waste. It uses renewable energy in its supply chain to reduce its climate impact. It has some fast fashion traits such as on trend styles and regular new arrivals Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It ensures payment of a living wage in a small proportion of its supply chain. It audits some of its suppliers. Its animal rating is 'great'. It is listed by PETA as vegan.nu-in is rated 'Good' overall."
295,Fanfare,4,5,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Fanfare “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.It uses recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Fanfare “It's a Start”. These are a few factors influencing its score:Much of its supply chain is certified by Global Organic Textile Standard (GOTS) certified organic cotton.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.It claims it ensures payment of a living wage in its supply chain but doesn't define a living wage.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Fanfare “Good”. These are a few factors influencing its score:It appears to use recycled exotic animal hair and silk.It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Fanfare “Good” overall."
